project_id,name,state,county,fips,lat,lon,capacity_mw,tier,composite,local_activity,local_enacted,county_model,state_activity,org_capacity,pct_local_activity,pct_local_enacted,pct_county_model,pct_state_activity,pct_org_capacity,events_within_50mi
prj_1,Project Nebius,AL,Jefferson County,01073,33.42755722,-86.88155065,300,Elevated,72.2,7.23,2.0,0.4758,4.0,17.0,72.5,58.8,69.5,94.5,89.7,11
prj_2,Project Marvel,AL,Jefferson County,01073,33.3443491,-87.03878951,1.2,Elevated,67.5,7.381,1.0,0.4758,4.0,16.0,72.8,40.3,69.5,94.5,87.5,11
prj_3,Meta Platforms Montgomery Data Center,AL,Montgomery County,01101,32.27257047,-86.32823838,227,Low,29.8,0.0,0.0,0.3814,4.0,0.0,6.4,15.3,54.5,94.5,9.8,0
prj_4,DC BLOX Montgomery,AL,Montgomery County,01101,32.26826301,-86.37368203,40,Low,29.8,0.0,0.0,0.3814,4.0,0.0,6.4,15.3,54.5,94.5,9.8,0
prj_5,DC BLOX Birmingham,AL,Jefferson County,01073,33.50056974,-86.82105075,40,Elevated,65.9,6.393,1.0,0.4758,4.0,16.0,67.4,40.3,69.5,94.5,87.5,12
prj_6,AUBix + Core Scientific Data Center,AL,Lee County,01081,32.60109865,-85.51370859,16,Low,23.9,0.0,0.0,0.2194,4.0,0.0,6.4,15.3,31.1,94.5,9.8,4
prj_7,Childersburg Data Center,AL,Talladega County,01121,33.34366468,-86.3344476,,Low,38.3,2.361,1.0,0.1142,4.0,6.0,32.9,40.3,12.9,94.5,57.1,10
prj_8,Tallassee Mill Data Center,AL,Elmore County,01051,32.53337165,-85.89014804,10,Low,21.7,0.0,0.0,0.1533,4.0,0.0,6.4,15.3,22.2,94.5,9.8,0
prj_9,Project Red Clay,AL,Lowndes County,01085,32.25758622,-86.51206583,,Low,16.7,0.0,0.0,0.0675,4.0,0.0,6.4,15.3,1.9,94.5,9.8,0
prj_10,Edged Energy Prichard Data Center,AL,Mobile County,01097,30.73179294,-88.06418606,,Low,25.3,0.0,0.0,0.2423,4.0,0.0,6.4,15.3,36.5,94.5,9.8,2
prj_11,Columbiana Mining Facility and Data Center,AL,Shelby County,01117,33.18122958,-86.62287042,55,Guarded,56.6,5.115,1.0,0.343,4.0,12.0,58.5,40.3,48.1,94.5,75.0,11
prj_12,Project Leo,AR,Pulaski County,05119,34.61717176,-92.23704641,1000,Guarded,53.0,5.917,1.0,0.4847,1.0,4.0,64.4,40.3,71.7,11.8,44.5,8
prj_13,Project Pyramid,AR,Crittenden County,05035,35.10663917,-90.211937,,Guarded,48.4,17.782,0.0,0.134,1.0,20.0,97.0,15.3,18.9,11.8,95.8,24
prj_14,Clarksville Data Center,AR,Johnson County,05071,35.4541942,-93.44764012,,Low,13.9,0.773,0.0,0.079,1.0,2.0,16.8,15.3,3.1,11.8,30.5,1
prj_15,Port of Little Rock Data Center,AR,Pulaski County,05119,34.686928,-92.22558054,100,Guarded,50.8,5.184,1.0,0.4847,1.0,3.0,59.4,40.3,71.7,11.8,37.9,8
prj_16,Vilonia Cryptomine,AR,Faulkner County,05045,35.09105679,-92.17104118,,Guarded,43.1,5.801,1.0,0.2298,1.0,4.0,63.8,40.3,32.9,11.8,44.5,7
prj_17,Millstone Nuclear Power Station Data Center,CT,Southeastern Connecticut Planning Region,09180,41.31039607,-72.16759273,300,Low,37.0,0.637,2.0,0.1973,3.0,3.0,14.1,58.8,28.4,72.2,37.9,3
prj_18,Wallingford Data Center,CT,South Central Connecticut Planning Region,09170,41.49793857,-72.79219892,,Low,39.0,1.867,1.0,0.3183,3.0,0.0,31.8,40.3,44.8,72.2,9.8,8
prj_19,Bloomfield Data Center Proposal,CT,Capitol Planning Region,09110,41.88592351,-72.74415945,,Guarded,42.8,2.427,1.0,0.3452,3.0,2.0,33.6,40.3,49.3,72.2,30.5,7
prj_20,Trumbull Data Center Investment,CT,Greater Bridgeport Planning Region,09120,41.24085718,-73.14738295,,Low,30.0,0.955,0.0,0.3232,3.0,0.0,22.2,15.3,45.1,72.2,9.8,6
prj_21,Bristol Data Center,CT,Naugatuck Valley Planning Region,09140,41.66989773,-72.93474147,,Low,35.3,1.867,1.0,0.206,3.0,0.0,31.8,40.3,29.9,72.2,9.8,8
prj_22,Project Washington,DE,New Castle County,10003,39.61185181,-75.6378833,1200,Guarded,55.2,2.503,2.0,0.5831,2.0,5.0,35.6,58.8,83.8,37.5,51.0,24
prj_23,"St. Georges Business Park Data Center Development  / ""Frightland Project""",DE,New Castle County,10003,39.54430554,-75.64337652,,Guarded,55.2,2.503,2.0,0.5831,2.0,5.0,35.6,58.8,83.8,37.5,51.0,21
prj_24,White Clay Creek Business Park Data Center Redevelopment,DE,New Castle County,10003,39.68188899,-75.7238784,,Guarded,55.2,2.503,2.0,0.5831,2.0,5.0,35.6,58.8,83.8,37.5,51.0,24
prj_25,Project Zodiac,IN,Allen County,18003,41.02969388,-85.04814501,,Low,28.5,1.249,0.0,0.3888,1.0,1.0,23.1,15.3,57.3,11.8,22.5,7
prj_26,Bristol Data Center,IN,Elkhart County,18039,41.6925709,-85.85815424,,Guarded,44.0,3.876,2.0,0.23,1.0,6.0,46.9,58.8,33.2,11.8,57.1,18
prj_27,Granger Data Center,IN,St. Joseph County,18141,41.72266213,-86.12540005,1000,Guarded,59.5,5.739,2.0,0.5033,1.0,6.0,62.9,58.8,76.2,11.8,57.1,18
prj_28,South Bend Data Center,IN,St. Joseph County,18141,41.64845397,-86.30055316,,Elevated,69.7,8.015,4.0,0.5033,1.0,4.0,75.7,89.1,76.2,11.8,44.5,19
prj_29,Decennial Group Akron Data Center,IN,Fulton County,18049,41.03887181,-86.02830714,500,Low,36.5,2.364,3.0,0.0919,1.0,5.0,33.2,75.9,5.2,11.8,51.0,12
prj_30,Project Rainier,IN,St. Joseph County,18141,41.69198344,-86.46494887,2400,Guarded,57.7,5.317,2.0,0.5033,1.0,4.0,61.0,58.8,76.2,11.8,44.5,20
