universe_id,source,name,operator,state,county,fips,county_margin_2024,lat,lon,capacity_mw,sqft,opposed_flag,lifecycle_outcome,decided,n_opposition_events,exclusion_reason
prj_1,proposals_opposed,Project Nebius,Nebius,AL,jefferson,01073,0.1044,33.42755722,-86.88155065,300.0,,yes,pending,no,1,
prj_2,proposals_opposed,Project Marvel,Logistics Land Investment LLC,AL,jefferson,01073,0.1044,33.3443491,-87.03878951,1.2,,yes,pending,no,2,
prj_3,proposals_opposed,Meta Platforms Montgomery Data Center,Terracon; Hensel Phelps Construction; Meta; Aldridge Electric,AL,montgomery,01101,0.3073,32.27257047,-86.32823838,227.0,,yes,advanced_confirmed,yes,1,
prj_4,proposals_unopposed,DC BLOX Montgomery,DC BLOX; Alabama Power,AL,montgomery,01101,0.3073,32.26826301,-86.37368203,40.0,,no,pending,no,0,county_shared_with_opposed_project
prj_5,proposals_opposed,DC BLOX Birmingham,DC BLOX; Alabama Power; Jefferson County Economic and Industrial Development Authority,AL,jefferson,01073,0.1044,33.50056974,-86.82105075,40.0,,yes,advanced_confirmed,yes,1,
prj_6,proposals_unopposed,AUBix + Core Scientific Data Center,Core Scientific,AL,lee,01081,-0.2782,32.60109865,-85.51370859,16.0,,no,advanced_confirmed,yes,0,
prj_7,proposals_opposed,Childersburg Data Center,Undisclosed Developer,AL,talladega,01121,-0.3377,33.34366468,-86.3344476,,,yes,pending,no,1,
prj_8,proposals_unopposed,Tallassee Mill Data Center,Undisclosed Developer,AL,elmore,01051,-0.5206,32.53337165,-85.89014804,10.0,,no,pending,no,0,
prj_9,proposals_unopposed,Project Red Clay,Cloverleaf Infrastructure,AL,lowndes,01085,0.3731,32.25758622,-86.51206583,,,no,pending,no,0,
prj_10,proposals_unopposed,Edged Energy Prichard Data Center,Edged Energy,AL,mobile,01097,-0.1645,30.73179294,-88.06418606,,,no,pending,no,0,
prj_11,proposals_opposed,Columbiana Mining Facility and Data Center,Digi Power X; US Data Centers,AL,shelby,01117,-0.4084,33.18122958,-86.62287042,55.0,,yes,advanced_confirmed,yes,1,
prj_12,proposals_opposed,Project Leo,AVAIO Digital Partners,AR,pulaski,05119,0.2213,34.61717176,-92.23704641,1000.0,,yes,pending,no,3,
prj_13,proposals_opposed,Project Pyramid,Google,AR,crittenden,05035,0.0228,35.10663917,-90.211937,,,yes,advanced_confirmed,yes,1,
prj_14,proposals_opposed,Clarksville Data Center,ServerFarm,AR,johnson,05071,-0.5143,35.4541942,-93.44764012,,,yes,advanced_confirmed,yes,1,
prj_15,proposals_opposed,Port of Little Rock Data Center,Willowbend Capital LLC; Google,AR,pulaski,05119,0.2213,34.686928,-92.22558054,100.0,,yes,pending,no,2,
prj_16,proposals_unopposed,Vilonia Cryptomine,Interstate Holdings Blockchain; Steve Landers Jr.,AR,faulkner,05045,-0.3232,35.09105679,-92.17104118,,,no,blocked_confirmed,yes,0,
prj_17,proposals_opposed,Millstone Nuclear Power Station Data Center,NE Edge Data Centers; Dominion Energy,CT,new london,09011,,41.31039607,-72.16759273,300.0,,yes,pending,no,2,
prj_18,proposals_unopposed,Wallingford Data Center,Charter Development,CT,new haven,09009,,41.49793857,-72.79219892,,,no,pending,no,0,
prj_19,proposals_unopposed,Bloomfield Data Center Proposal,Atlas Capital Group / Gotspace Data LLC,CT,hartford,09003,,41.88592351,-72.74415945,,,no,pending,no,0,
prj_20,proposals_unopposed,Trumbull Data Center Investment,ogNOVUM / AC Trumbull LLC,CT,fairfield,09001,,41.24085718,-73.14738295,,,no,pending,no,0,
prj_21,proposals_unopposed,Bristol Data Center,GWDC Bristol LLC,CT,hartford,09003,,41.66989773,-72.93474147,,,no,pending,no,0,
prj_22,proposals_opposed,Project Washington,Starwood Digital Ventures,DE,new castle,10003,0.3256,39.61185181,-75.6378833,1200.0,,yes,pending,no,2,
prj_23,proposals_unopposed,"St. Georges Business Park Data Center Development  / ""Frightland Project""",Parkway Gravel,DE,new castle,10003,0.3256,39.54430554,-75.64337652,,,no,pending,no,0,county_shared_with_opposed_project
prj_24,proposals_unopposed,White Clay Creek Business Park Data Center Redevelopment,Shelbourne,DE,new castle,10003,0.3256,39.68188899,-75.7238784,,,no,pending,no,0,county_shared_with_opposed_project
prj_25,proposals_opposed,Project Zodiac,Google,IN,allen,18003,-0.1247,41.02969388,-85.04814501,,,yes,advanced_confirmed,yes,1,
prj_26,proposals_unopposed,Bristol Data Center,Undisclosed Developer,IN,elkhart,18039,-0.3238,41.6925709,-85.85815424,,,no,pending,no,0,
prj_27,proposals_unopposed,Granger Data Center,Microsoft,IN,st. joseph,18141,0.0148,41.72266213,-86.12540005,1000.0,,no,pending,no,0,
prj_28,proposals_unopposed,South Bend Data Center,Western Hospitality Partners,IN,st. joseph,18141,0.0148,41.64845397,-86.30055316,,,no,pending,no,0,
prj_29,proposals_opposed,Decennial Group Akron Data Center,Decennial Group,IN,fulton,18049,-0.5125,41.03887181,-86.02830714,500.0,,yes,pending,no,1,
prj_30,proposals_unopposed,Project Rainier,Amazon Web Services; Anthropic,IN,st. joseph,18141,0.0148,41.69198344,-86.46494887,2400.0,,no,advanced_confirmed,yes,0,
prj_31,proposals_opposed,Martindale Indianapolis Metrobloks Data Center,Metrobloks,IN,marlon,,,39.80391442,-86.10002644,72.0,,yes,pending,no,3,
prj_32,proposals_opposed,Surge Development Knightstown Data Center,Surge Development; GM Development LLC,IN,henry,18065,-0.4771,39.84095834,-85.56599378,,,yes,advanced_confirmed,yes,1,
prj_33,proposals_opposed,Decatur Technology Park,Sabey Data Centers,IN,marion,18097,0.2768,39.66565427,-86.3005398,250.0,,yes,pending,no,1,
prj_34,proposals_opposed,Project Louie,Google,IN,morgan,18109,-0.5433,39.5927482,-86.46343288,,,yes,advanced_confirmed,yes,1,
prj_35,proposals_opposed,Hancock County MegaSite,Surge Development,IN,hancock,18059,-0.3371,39.85920062,-85.8714585,,,yes,blocked_confirmed,yes,2,
prj_36,proposals_opposed,Project Flo,Google,IN,marion,18097,0.2768,39.72001334,-86.00011831,,,yes,blocked_confirmed,yes,1,
prj_37,proposals_unopposed,Pittsboro Middle Township Data Center,Vantage Data Centers,IN,hendricks,18063,-0.2150,39.89679869,-86.44983309,,,no,pending,no,0,
prj_38,proposals_opposed,Pike Township Data Center,American Tower Corporation,IN,marion,18097,0.2768,39.89538346,-86.20420857,,,yes,blocked_confirmed,yes,1,
prj_39,proposals_unopposed,Project Maize,Phoenix Investors,IN,la porte,,,41.71352587,-86.84288513,,,no,advanced_confirmed,yes,0,
prj_40,proposals_opposed,Hobart Tech Park,Amazon; NIPSCO; GenCo,IN,lake,18089,0.0564,41.50355522,-87.28117326,,,yes,advanced_confirmed,yes,2,
prj_41,proposals_unopposed,Tract Project West,Tract,IA,warren,19181,-0.2074,41.45765488,-93.68699672,,,no,pending,no,0,
prj_42,proposals_opposed,Google Cedar Rapids,Google,IA,linn,19113,0.0991,41.91422692,-91.72176504,,,yes,advanced_confirmed,yes,2,
prj_43,proposals_unopposed,QTS Cedar Rapids,QTS,IA,linn,19113,0.0991,41.91132019,-91.73705145,,,no,advanced_confirmed,yes,0,county_shared_with_opposed_project
prj_44,proposals_opposed,Meta Davenport Data Center,Meta,IA,scott,19163,-0.0390,41.61625011,-90.62525425,,,yes,advanced_confirmed,yes,1,
prj_45,proposals_unopposed,Project Ruthenium,Microsoft,IA,madison,19121,-0.3858,41.4982532,-93.80230569,,,no,pending,no,0,
prj_46,proposals_opposed,Applied Digital Adair,Applied Digital,IA,adair,19001,-0.4503,41.46792807,-94.61476686,200.0,,yes,pending,no,1,
prj_47,proposals_unopposed,Edged Energy Des Moines,Edged Energy,IA,polk,19153,0.1089,41.65752558,-93.56339512,13.0,,no,advanced_confirmed,yes,0,
prj_48,proposals_unopposed,Project Morgan,Apple,IA,dallas,19049,-0.0475,41.62032029,-93.92530162,,,no,advanced_confirmed,yes,0,
prj_49,proposals_unopposed,Google Council Bluffs,Google,IA,pottawattamie,19155,-0.1997,41.22148817,-95.86488585,,,no,advanced_confirmed,yes,0,
prj_50,proposals_unopposed,Tract Altoona,Tract,IA,polk,19153,0.1089,41.68257893,-93.53199351,,,no,pending,no,0,
prj_51,proposals_unopposed,COPT Defense Properties Data Center,COPT Defense Properties,IA,dallas,19049,-0.0475,41.51929011,-93.9429512,1000.0,,no,pending,no,0,
prj_52,proposals_unopposed,Project Alluvion,Microsoft,IA,polk,19153,0.1089,41.51672672,-93.70504356,,,no,advanced_confirmed,yes,0,
prj_53,proposals_unopposed,Project Ginger West,Microsoft; Turner Constuction,IA,dallas,19049,-0.0475,41.53290683,-93.86352515,,,no,advanced_confirmed,yes,0,
prj_54,proposals_unopposed,Project Ginger East,Microsoft; Weitz Construction,IA,polk,19153,0.1089,41.51556698,-93.72156694,,,no,advanced_confirmed,yes,0,
prj_55,proposals_unopposed,Project Osmium,Microsoft,IA,warren,19181,-0.2074,41.49719516,-93.78764456,,,no,advanced_confirmed,yes,0,
prj_56,proposals_opposed,PowerHouse Louisville,PowerHouse Data Centers,KY,jefferson,21111,0.1655,38.2078029,-85.84407511,525.0,,yes,advanced_confirmed,yes,3,
prj_57,proposals_opposed,Project Lincoln,Western Hospitality Partners,KY,oldham,21185,-0.2258,38.39322445,-85.40823914,,,yes,pending,no,3,
prj_58,proposals_opposed,Franklin–Simpson Data Storage and Service Center,TenKey LandCo I LLC,KY,simpson,21213,-0.4387,36.66574693,-86.56488544,,,yes,pending,no,2,
prj_59,proposals_opposed,Harrodsburg Data Center,JLL,KY,mercer,21167,-0.5057,37.77137178,-84.77913548,525.0,,yes,pending,no,1,
prj_60,proposals_opposed,TeraWulf Hawesville Data Center,TeraWulf,KY,hancock,21091,-0.4753,37.94146754,-86.78826457,,,yes,pending,no,1,
prj_61,proposals_unopposed,Project Pulse,DC Devco LLC,KY,clark,21049,-0.3532,34.05370939,-93.10588436,,,no,blocked_confirmed,yes,0,
prj_62,proposals_opposed,Bates Mill No. 3. Data Center,Mill-Compute LLC,ME,androscoggin,23001,-0.0609,44.09471157,-70.2188496,,,yes,blocked_confirmed,yes,1,
prj_63,proposals_unopposed,Loring Air Force Base Data Center,LiquidCool Solutions,ME,aroostook,23003,-0.2621,46.94618137,-67.8909365,2.0,,no,pending,no,0,
prj_64,proposals_unopposed,Millinocket Data Center,Nautilus Data Technologies,ME,aroostook,23003,-0.2621,45.64559665,-68.70503765,60.0,,no,blocked_confirmed,yes,0,
prj_65,proposals_opposed,Sanford Woods Industrial and Technical Campus,Randy Gibbs,ME,york,23031,0.1048,43.42290886,-70.70655916,,,yes,pending,no,1,
prj_66,proposals_opposed,Woodlawn Data Center,Security Land and Development LP,MD,baltimore,24005,0.2450,39.30896202,-76.73917251,150.0,,yes,pending,no,1,
prj_67,proposals_opposed,Brightseat Tech Park Data Center Development,Lerner Enterprises,MD,prince george's,24033,0.7515,38.92025496,-76.85650556,,,yes,pending,no,1,
prj_68,proposals_unopposed,Laurel Data Center,TPC Data Center via Mid-Atlantic LLC,MD,prince george's,24033,0.7515,39.08928035,-76.9011909,20.0,,no,pending,no,0,county_shared_with_opposed_project
prj_69,proposals_opposed,Federick County Zoning Overlay + Quantum Frederick Park Data Center Campus,Rowan Digital Infrastructure; TPG Real Estate,MD,frederick,24021,0.0881,39.33289175,-77.4734034,,,yes,advanced_confirmed,yes,1,
prj_70,proposals_unopposed,Piney Reach Data Center Development,NAI Michael,MD,charles,24017,0.4071,38.57919612,-76.88654887,,,no,pending,no,0,
prj_71,proposals_unopposed,Johns Hopkins Data Science and Artificial Intelligence Institute (DSAI),Johns Hopkins University,MD,baltimore,24005,0.2450,39.32576868,-76.62440393,,,no,advanced_confirmed,yes,0,county_shared_with_opposed_project
prj_72,proposals_opposed,Atmosphere Dickerson Data Center,Atmosphere Data Centers; Terra Energy,MD,montgomery,24031,0.5330,39.21300165,-77.45264836,360.0,,yes,pending,no,3,
prj_73,proposals_opposed,Westfield Data Center Campus,Servistar Realties,MA,hampden,25013,0.0889,42.15896563,-72.74102143,,,yes,pending,no,2,
prj_74,proposals_opposed,Project Mitten / The Barn,OpenAI; Oracle; Related Digital,MI,washtenaw,26161,0.4442,42.12049367,-83.88493822,1400.0,,yes,advanced_confirmed,yes,9,
prj_75,proposals_opposed,Project Cannoli,Panattoni Data Center Group,MI,wayne,26163,0.2897,42.22440467,-83.43455956,1000.0,,yes,pending,no,1,
prj_76,proposals_unopposed,Project Splitrock,Randee LLC,MI,livingston,26093,-0.2395,42.65834059,-84.02162314,,,no,blocked_confirmed,yes,0,
prj_77,proposals_opposed,32 Mile Road Technical Campus,Prologis,MI,macomb,26099,-0.1369,42.80033403,-82.99099444,,,yes,pending,no,1,
prj_78,proposals_opposed,Benton Charter Township Data Center,Undisclosed Developer,MI,berrien,26021,-0.0787,42.0793117,-86.38608493,,,yes,pending,no,1,
prj_79,proposals_opposed,Microsoft Gaines Township Data Center,Microsoft,MI,kent,26081,0.0537,42.83126854,-85.55654658,,,yes,pending,no,4,
